iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
PRY,2023-08-02,381.5822506923466,392.62618517423664,371.00239530723667,0.308500455380687,6.378,123.68936383626315,127.2692400695938,120.25991820641651,5982.788502545415,6155.945204989599,5816.908048090885
PSE,2023-08-02,123.530282666327,247.65074125482704,84.66774715882684,0.163968368879579,3.043,75.3378737072451,151.03568020287238,51.63663439319092,4059.490064618041,8138.374671535557,2782.3774945391665
PYF,2023-08-02,184.093645486844,319.3218315300539,114.1605843960537,0.408874574026002,7.775,45.024478698726014,78.0977472836809,27.920685620523265,2367.763929091241,4107.033202958893,1468.3033362836488
QAT,2023-08-02,56.90561035254582,73.7793933875758,50.872962523575765,0.154925280761202,1.307,36.73100353470311,47.62256555229197,32.837095581572704,4353.910508993559,5644.942110755608,3892.346023226914
REU,2023-08-02,376.97626551982,1140.6350562509988,35.93054986699993,0.570144728305854,NA,66.1193986025231,200.06061612466675,6.302005102066821,NA,NA,NA
ROU,2023-08-02,595.8770555426746,611.8857211591246,587.8081655641247,0.811839933755157,17.85,73.398342550908,75.3702418072555,72.40444096476313,3338.2468097628825,3427.931210975488,3293.0429443368325
RUS,2023-08-02,1011.0773260823436,1113.2743888875136,829.9301876065136,0.682322182484547,14.178,148.1818050236469,163.15963594115257,121.6331828146756,7131.31137030853,7852.125750370387,5853.647817791744
RWA,2023-08-02,202.3483721492099,420.10675824299966,65.88969754299953,0.1572764787719,2.974,128.6577457285766,267.1135325023938,41.89418408747576,6803.9129841698,14125.983801042354,2215.524463449883
SAU,2023-08-02,134.12898067232993,507.98588971999936,52.140728756999685,0.213027530064754,3.295,62.963214487610465,238.46020726315837,24.47605187045565,4070.682266231561,15416.870704704077,1582.4196891350437
SDN,2023-08-02,282.0653120188795,878.6931519470004,140.33705534600003,0.177082765111193,3.548,159.28445201415641,496.2047839016154,79.24941496021944,7949.980609325805,24765.872377311174,3955.384874464488
SEN,2023-08-02,127.79906026095978,276.00716179000005,19.592819656000177,0.150638074695954,3.008,84.83848490423672,183.2253647340418,13.006552092189228,4248.638971441482,9175.770006316492,651.3570364361761
SGP,2023-08-02,118.72513471713116,140.52275870537105,101.30114794437112,0.577944816863006,12.922,20.542642005434463,24.314217310245393,17.527823589493874,918.7829648439185,1087.4691124080719,783.9432591268467
SHN,2023-08-02,-44.83646053299991,230.43007907099997,0,NA,NA,NA,NA,NA,NA,NA,NA
SLB,2023-08-02,85.90514959850998,318.1949822619999,0,0.183799391698977,3.507,46.738538579716156,173.12080269728713,-25.806037777688882,2449.5337781154826,9073.138929626457,0
SLE,2023-08-02,37.29675420532002,297.49158715200014,0,0.148541608294167,2.538,25.108624198721976,200.27491998259333,-55.67898911341475,1469.5332626209622,11721.496735697405,0
SLV,2023-08-02,450.75664474454805,502.2810453706786,186.93170290367817,0.394542050905802,8.273,114.2480614448287,127.30735398610263,47.37941176980109,5448.527072942682,6071.328966163165,2259.5395008301484
SMR,2023-08-02,436.3330812686946,448.8028601717447,405.70031720374465,NA,NA,NA,NA,NA,NA,NA,NA
