location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Asia,2020-11-16,10428.311,15975.706,12643.545,8846.688,6553.725,1565,FALSE
Latin America and Caribbean,2020-11-16,2471.293,2524.543,2471.293,2424.156,2368.641,1619.25,FALSE
Europe,2020-11-16,9683.473,9684.468,9683.984,9683.434,9682.88,4414.875,FALSE
Africa,2020-11-23,2231.869,4245.888,2773.164,1837.919,997.909,270.125,FALSE
North America,2020-11-23,2465.636,2465.636,2465.636,2465.636,2465.636,1639.5,FALSE
Oceania,2020-11-23,-0.282,23.283,10.074,-2.268,-10.402,2.875,FALSE
Asia,2020-11-23,10256.988,15972.244,12586.907,9053.253,6741.892,1704.625,FALSE
Latin America and Caribbean,2020-11-23,2516.242,2562.329,2516.242,2466.338,2414.829,1662.375,FALSE
Europe,2020-11-23,9526.491,9527.373,9526.889,9526.324,9525.718,4928.25,FALSE
Africa,2020-11-30,2619.301,4851.491,3359.515,2201.956,1403.198,288.5,FALSE
North America,2020-11-30,2912.007,2912.007,2912.007,2912.007,2912.007,1762.5,FALSE
Oceania,2020-11-30,25.188,49.357,35.619,24.808,16.342,2.5,FALSE
Asia,2020-11-30,8351.858,15395.197,11309.752,8139.497,5754.033,1730.25,FALSE
Latin America and Caribbean,2020-11-30,2631.862,2683.729,2631.862,2572.081,2527.632,1661.625,FALSE
Europe,2020-11-30,9286.505,9287.438,9286.631,9285.754,9285.321,5067.375,FALSE
Africa,2020-12-07,3164.243,4778.949,3620.244,2593.079,1765.041,297.125,FALSE
North America,2020-12-07,3503.121,3503.121,3503.121,3503.121,3503.121,2235.25,FALSE
Oceania,2020-12-07,-3.238,20.311,8.589,-3.238,-12.581,1,FALSE
Asia,2020-12-07,7611.236,13215.223,10639.636,7312.215,4884.266,1646.5,FALSE
Latin America and Caribbean,2020-12-07,3161.965,3194.261,3161.965,3087.266,3039.287,1777.75,FALSE
Europe,2020-12-07,8897.563,8898.337,8897.672,8896.788,8896.216,5058.75,FALSE
Africa,2020-12-14,3391.105,5874.264,4272.795,3063.938,2213.008,346.875,FALSE
North America,2020-12-14,3502.693,3502.693,3502.693,3502.693,3502.693,2628.5,FALSE
Oceania,2020-12-14,15.65,40.488,27.457,14.774,3.427,2.25,FALSE
