location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-08-10,64.953,65.994,65.073,63.793,62.933,39.953,FALSE
Europe,2020-08-10,43.481,43.492,43.481,43.475,43.47,29.224,FALSE
Oceania,2020-08-10,-10.745,-0.759,-5.13,-10.745,-14.144,0.795,FALSE
Asia,2020-08-10,10.946,22.782,16.81,7.97,1.646,2.359,FALSE
North America,2020-08-10,63.411,63.411,63.411,63.411,63.411,45.772,FALSE
Africa,2020-08-17,10.479,39.291,20.888,7.585,-8.336,1.815,FALSE
Latin America and Caribbean,2020-08-17,68.838,69.853,68.858,67.617,66.691,42.995,FALSE
Europe,2020-08-17,45.193,45.205,45.193,45.186,45.182,29.54,FALSE
Oceania,2020-08-17,-11.76,-1.448,-6.058,-11.76,-15.073,1.032,FALSE
Asia,2020-08-17,12.347,25.156,18.454,9.566,2.938,2.582,FALSE
North America,2020-08-17,66.268,66.268,66.268,66.268,66.268,47.653,FALSE
Africa,2020-08-24,11.13,41.427,21.737,8.25,-7.803,1.963,FALSE
Latin America and Caribbean,2020-08-24,72.412,73.411,72.412,71.115,70.144,46.039,FALSE
Europe,2020-08-24,46.607,46.62,46.608,46.601,46.596,29.849,FALSE
Oceania,2020-08-24,-12.978,-2.288,-7.129,-12.978,-16.502,1.228,FALSE
Asia,2020-08-24,14.142,26.67,20.887,11.185,4.315,2.794,FALSE
North America,2020-08-24,68.58,68.58,68.58,68.58,68.58,49.259,FALSE
Africa,2020-08-31,11.798,43.303,22.804,8.703,-7.602,2.09,FALSE
Latin America and Caribbean,2020-08-31,75.593,76.617,75.593,74.27,73.263,48.807,FALSE
Europe,2020-08-31,47.836,47.849,47.837,47.829,47.824,30.152,FALSE
Oceania,2020-08-31,-13.91,-2.87,-7.86,-13.91,-17.598,1.53,FALSE
Asia,2020-08-31,15.719,28.687,23.206,12.665,4.978,3.024,FALSE
North America,2020-08-31,70.647,70.647,70.647,70.647,70.647,50.939,FALSE
Africa,2020-09-07,12.363,45.138,23.878,9.057,-7.595,2.209,FALSE
Latin America and Caribbean,2020-09-07,78.306,79.304,78.306,76.949,75.948,52.173,FALSE
Europe,2020-09-07,49.98,49.992,49.981,49.973,49.968,30.503,FALSE
Oceania,2020-09-07,-14.802,-3.425,-8.536,-14.802,-18.653,1.781,FALSE
Asia,2020-09-07,17.626,31.388,25.371,14.327,5.76,3.266,FALSE
North America,2020-09-07,72.467,72.467,72.467,72.467,72.467,52.442,FALSE
Africa,2020-09-14,12.696,47.009,24.654,9.109,-7.722,2.298,FALSE
Latin America and Caribbean,2020-09-14,80.768,81.749,80.768,79.401,78.393,54.502,FALSE
