location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
New Caledonia,NCL,NA,16.82388827669954,319,-118.195,169.01635801385916,17.1599347183526,3.992357824998451,75.6996372660674,0
Niger,NER,NA,198.19779203590016,321.895,-23.986,7763.329104422254,690.4306183626002,160.632667144731,260.8847844623217,0
Nigeria,NGA,1.444,244.45280087910015,406.439,13.945,8885.961500512547,773.9062785878573,180.05376115045527,299.36609081823883,10.271111174672887
Nicaragua,NIC,NA,330.0786433984555,400.006,228.601,6062.050383810018,504.84304994487576,117.45464851261416,142.3374192269618,81.34507602828981
Netherlands,NLD,NA,308.8701528079443,316.404,304.936,1644.76358063765,154.0699579792684,35.84526470708895,36.71964556082023,35.388664548461726
Norway,NOR,NA,167.27515221348523,171.245,162.96,994.442376871085,93.72010124772608,21.804522319996753,22.32203565593027,21.24203023510696
Nepal,NPL,NA,368.7488906641002,555.406,142.16,6347.889321124121,615.9701064799428,143.30899941829247,215.85066954800757,55.24836140561084
New Zealand,NZL,NA,2.208921238664233,10.538,-2.366,14.416663873281772,1.3208279873584148,0.3072982524326041,1.466073575637194,0
Oman,OMN,NA,83.03207767892323,97.076,77.303,3525.778245389521,207.97050972994,48.385539077910494,56.5692766106987,45.04713087696116
Pakistan,PAK,12.999,351.0358254130008,542.569,151.913,7809.473312858749,714.6955137622471,166.2780350678352,257.0032466870369,71.95804884769944
Panama,PAN,NA,222.1447036768411,293.156,140.655,2805.5658458807916,230.5934958231644,53.6489073270635,70.79836609866906,33.96884961586748
Peru,PER,NA,603.843212067982,661.872,573.046,8444.178605341658,651.2806260258744,151.52419553224917,166.08555459480627,143.79618907670704
Philippines,PHL,57.706,244.325326702841,361.762,224.526,5086.931640700417,404.2514557116429,94.0514337010446,139.2578555013731,86.42985901972075
Papua New Guinea,PNG,NA,183.7051664561001,379.982,-68.207,4824.1902955908645,447.96754288435164,104.2222336234719,215.57669536008,0
Poland,POL,NA,444.1839286147543,454.386,442.949,2649.7877982148434,236.6384204368578,55.055293917636824,56.31975300184952,54.90223756945315
Puerto Rico,PRI,NA,560.1680134747008,777.012,143.486,3693.09080613595,259.9818430045944,60.48627586950148,83.90079173002563,15.493450116807436
Portugal,PRT,NA,372.6973352911941,381.328,363.819,1733.314739518157,155.4868629511583,36.174915824336736,37.012645783040774,35.313181596810246
Paraguay,PRY,NA,367.4645330005374,387.708,359.953,5761.438272194064,511.97150617696565,119.11312498618172,125.67492546829772,116.6781856745912
Palestinian Territories,PSE,NA,105.71519167272707,248.252,73.445,3474.0450763301696,277.11720965643735,64.47291779206878,151.4023857205941,44.79230674592269
French Polynesia,PYF,NA,178.64630266585382,321.945,109.191,2297.70164200455,187.79762683780118,43.692201475578415,78.7393215858368,26.705155919308947
Qatar,QAT,NA,59.43949001926326,68.87,54.233,4547.780414633761,164.90694833328763,38.366553042354546,44.4536460006277,35.006152750923334
Réunion,REU,NA,324.3493219392001,1130.987,110.749,NA,244.51981217516527,56.8889451811616,198.36835392088057,19.424704830838795
Romania,ROU,NA,575.2677904309476,597.414,571.845,3222.7887419100703,304.56908631162264,70.85975529314658,73.58763085547129,70.43814007596114
Russia,RUS,276.424,1033.240260004814,1145.71,823.103,7287.630554413979,650.8756160336126,151.42996762064297,167.91339049166282,120.63257527790476
Rwanda,RWA,NA,244.9286997841001,619.034,68.093,8235.665762747145,669.3635695974173,155.73129669270074,393.59612860852013,43.295408718907254
Saudi Arabia,SAU,NA,79.4201341016,312.11,50.731,2410.322734494689,160.2437339822748,37.28162931685809,146.511526491026,23.814152470142886
Sudan,SDN,NA,289.1681958995003,547.686,98.384,8150.17463076382,701.8760170695292,163.2955051938155,309.28259279501265,55.55808605497163
Senegal,SEN,NA,181.8263695343999,376.655,20.146,6044.75962547872,518.8099341212223,120.7041247051225,250.03946824747615,13.37390331007805
Singapore,SGP,NA,130.14117323284492,143.211,112.861,1007.1287202665604,96.78644015456594,22.517923759439675,24.779290233446492,19.528061328975856
Solomon Islands,SLB,NA,-27.272068753800124,345.908,-40.849,-777.6466710521848,-63.77642712862876,0,188.19870176856773,0
Sierra Leone,SLE,NA,91.70187886529982,270.976,-51.108,3613.155195638291,265.3482845991303,61.73480947082274,182.4242259753696,0
