location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-11-02,630800.085,630944.317,630850.286,630762.177,630699.909,277208,FALSE
Africa,2020-11-02,236434.088,799545.369,420181.518,149659.122,-143298.647,44720,FALSE
Latin America and Caribbean,2020-11-02,646971.73,653636.235,646971.73,636384.991,628499.945,480962,FALSE
Asia,2020-11-02,1396417.147,2342631.917,1857527.043,1270427.697,742030.095,245523,FALSE
North America,2020-11-09,349870.149,349870.149,349870.149,349870.149,349870.149,253248,FALSE
Oceania,2020-11-09,-8046.409,-1788.093,-4686.484,-8046.409,-10271.869,1082,FALSE
Europe,2020-11-09,699181.862,699328.667,699232.922,699145.186,699080.437,303891,FALSE
Africa,2020-11-09,252467.517,817200.57,437953.924,163734.265,-138975.717,46551,FALSE
Latin America and Caribbean,2020-11-09,664132.71,670895.388,664132.71,653225.436,645357.334,491612,FALSE
Asia,2020-11-09,1466226.55,2420087.867,1929022.471,1335812.093,796986.788,256552,FALSE
North America,2020-11-16,365804.599,365804.599,365804.599,365804.599,365804.599,262741,FALSE
Oceania,2020-11-16,-8067.661,-1651.171,-4629.976,-8067.661,-10278.496,1100,FALSE
Europe,2020-11-16,767009.543,767159.781,767059.844,766974.673,766906.099,335643,FALSE
Africa,2020-11-16,268937.338,837485.756,459203.315,180950.738,-132669.282,48358,FALSE
Latin America and Caribbean,2020-11-16,681347.498,688332.501,681347.498,670175.57,662462.068,503149,FALSE
Asia,2020-11-16,1537805.364,2498525.493,2019002.449,1402043.296,852145.725,267560,FALSE
North America,2020-11-23,383064.048,383064.048,383064.048,383064.048,383064.048,274323,FALSE
Oceania,2020-11-23,-8079.872,-1513.233,-4572.469,-8079.872,-10280.553,1122,FALSE
Europe,2020-11-23,833753.745,833902.518,833804.166,833722.58,833648.824,370926,FALSE
Africa,2020-11-23,284168.21,856690.21,485624.065,196234.547,-123736.13,50237,FALSE
Latin America and Caribbean,2020-11-23,698878.699,706122.301,698878.699,687547.998,679722.033,514367,FALSE
Asia,2020-11-23,1608957.397,2576581.293,2113264.524,1469590.182,905739.255,279626,FALSE
North America,2020-11-30,403448.097,403448.097,403448.097,403448.097,403448.097,286627,FALSE
Oceania,2020-11-30,-7905.422,-1184.987,-4274.5,-7905.422,-10117.047,1140,FALSE
Europe,2020-11-30,898796.032,898943.608,898846.293,898764.318,898686.158,407581,FALSE
Africa,2020-11-30,300796.477,884099.823,502406.847,207817.572,-111499.658,52255,FALSE
Latin America and Caribbean,2020-11-30,717244.923,724696.154,717244.923,705484.709,697552.751,526156,FALSE
Asia,2020-11-30,1672759.613,2657921.669,2209067.698,1544766.51,956031.072,291684,FALSE
North America,2020-12-07,427969.946,427969.946,427969.946,427969.946,427969.946,302910,FALSE
Oceania,2020-12-07,-7932.084,-1106.918,-4255.653,-7932.084,-10131.3,1147,FALSE
Europe,2020-12-07,961134.784,961280.334,961182.082,961102.153,961018.808,444055,FALSE
