continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2021-05-03,658737988,4978.764221379823,5226.931024774728,5214.001859310865,5114.128805606403,4974.608444903883,4921.439769023942,4907.569711974612,199361.44883366802,4153.363517368084,4759.286
Asia,2021-05-03,4653336159,49446.24202070202,82963.94017937097,78697.1693080164,55684.933236683544,35904.48709101581,23676.865988097416,21241.21321206818,76724.92858492813,1534.4985716985625,5152
Africa,2021-05-03,1372305269,4536.5014934261835,5719.20044793649,5149.06006828496,4536.5014934261835,2956.3033453725775,2409.786544815384,2092.876937980072,64410.97662531346,1150.1960111663118,303.858
"Europe, United States, Canada, and Oceania",2021-05-03,1164189376,3011.1423502588077,3028.9287878495634,3024.077781478699,3011.1423502588077,2978.308739169495,2958.644321355375,2956.8824732252224,219726.6918976836,2929.689225302448,3523.287
Latin America and Caribbean,2021-05-10,658737988,4865.704603769882,5141.489564801019,5110.245264416721,5002.853405467923,4858.864819592739,4798.268287288124,4788.2485662676745,192265.79169081087,4005.537326891893,4309.143
Asia,2021-05-10,4653336159,49748.510339944216,88905.99808059707,85496.96395241983,57300.300236352305,34831.68403122459,23309.588301809174,21062.596473353442,76893.21429921384,1537.8642859842766,5560.641
Africa,2021-05-10,1372305269,4969.556102426076,5766.105521416224,5638.960105481178,4969.556102426076,2950.193578848638,2411.983009322525,2095.9523910807316,66478.17662531346,1187.1102968805974,313
"Europe, United States, Canada, and Oceania",2021-05-10,1164189376,2823.8570000950513,2843.206894860234,2841.9192664523403,2826.7525803170615,2799.568032522847,2790.5236114766067,2786.8523946768514,206975.6204691124,2759.674939588165,3084
Latin America and Caribbean,2021-05-17,658737988,4732.40183779307,5003.5097312084445,4976.320987214563,4866.143403620456,4732.40183779307,4645.19706650377,4599.594445552289,183557.5631193823,3824.1158983204646,4183.858
Asia,2021-05-17,4653336159,50370.093977127384,89539.24823337144,85453.4852291548,59250.05841843495,35997.295053378104,17467.240859884314,16730.549820868193,76565.78572778526,1531.3157145557052,5609.57
Africa,2021-05-17,1372305269,4918.622008170732,5989.905794098562,5706.258702141617,4918.622008170732,3051.50136188412,2549.4244177737605,2380.406588108199,66241.37662531347,1182.881725452026,260.288
"Europe, United States, Canada, and Oceania",2021-05-17,1164189376,2511.3505168891425,2512.1922053568455,2511.3505168891425,2511.3505168891425,2471.455319835176,2451.00201565726,2447.1366499058477,180620.6204691127,2408.274939588169,2617.282
Latin America and Caribbean,2021-05-24,658737988,4662.178280452991,4947.135014654849,4934.892286440086,4815.92456845039,4662.178280452991,4573.761899726016,4558.989126742525,180283.6202622394,3755.9087554633206,3983.143
Asia,2021-05-24,4653336159,61406.528426827404,90995.59954879152,87333.6305909691,68164.30079846102,36435.77592228503,16333.635893163615,15119.624248854336,72573.92858492809,1451.4785716985618,5521.002
Africa,2021-05-24,1372305269,4943.6746816577825,6031.4844331616005,5945.3768899401075,4943.6746816577825,3282.8829916381455,2693.254007648092,2519.6454095622244,71263.77662531346,1272.5674397377404,301.29
