region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Sub-Saharan Africa,2020-08-24,1211214422,25.619355623530684,38.88902384676855,37.869407422356204,25.619355623530684,1.6149608127609467,-14.324908410245989,-18.16939082069118,85.08410505800305,1.7725855220417297,1.8512999509181869
Europe & Central Asia,2020-08-24,923927595,42.95266932994749,43.188138536336204,43.134597791218916,42.95266932994749,42.70430851900865,42.487178485527366,42.43106465844234,2491.4063065020846,42.22722553393363,23.951707168135833
Middle East & North Africa,2020-08-24,493379661,43.262251648739415,49.64318138560018,48.337849580890804,44.13916729694741,40.23278510864019,37.37504589622209,36.67215405610413,669.5272666432759,31.882250792536947,8.567057854458252
East Asia & Pacific,2020-08-24,2362944397,-7.318009929833301,7.021010820012291,3.5218134498230635,-1.269052732013065,-7.318009929833301,-9.188465065613624,-9.921904704394858,-220.4804860033651,-5.377572829350367,0.7148741215174689
North America,2020-08-24,376814276,68.57108724531068,68.57237436382447,68.57222012652785,68.57165010854956,68.57108724531068,68.57085840695403,68.5708049775803,274.28705800893914,68.57176450223479,50.864319694724095
Other,2020-08-24,3675292,33.310958359539534,65.22180616744585,60.281739072497246,46.88594374681731,33.310958359539534,26.021749215148883,24.58354901563442,207.05602506408283,34.509337510680474,13.686531573545722
Latin America & Caribbean,2020-08-31,660258572,75.89156831761596,78.10402026238835,77.71616978033222,76.4235608713754,75.11732221322508,74.21840468964766,74.07129593848965,3627.0927501909314,74.02230102430472,52.643281699037146
South Asia,2020-08-31,1918999115,41.92057471381273,64.74035538041062,57.1418231906609,41.92057471381273,24.777576271669904,10.777004913719686,9.25093174699226,-0.07133142563546754,-0.008916428204433443,3.998908879121604
Sub-Saharan Africa,2020-08-31,1211214422,26.91147582154428,40.71263471906621,39.02301180784933,26.91147582154428,1.788249396922932,-14.572229431300457,-17.928176699034434,87.55979553972846,1.8241624070776763,1.9585480133921325
Europe & Central Asia,2020-08-31,923927595,44.57233759017766,44.81060973765461,44.76029154514887,44.57233759017766,44.31910932463828,44.08917153642912,44.0476791095327,2584.8419514163666,43.81088053248079,24.25335504780545
Middle East & North Africa,2020-08-31,493379661,45.210195430145454,52.078469631723635,50.23347822077819,46.093081809481575,41.8764404460139,38.94198950409765,38.25290295335678,690.8507668834545,32.897655565878786,9.041942448454519
