region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Western Asia,2020-11-23,289775883,282015.752555028,371136.9992129017,354434.7955534793,282015.752555028,180793.8598089044,147914.131365411,132393.8819235488,274847.85079416353,15269.325044120196,45565.55733333333
Australia and New Zealand,2020-11-23,31050817,-6062.971161044874,-6062.971161044874,-6062.971161044874,-6062.971161044874,-6062.971161044874,-6062.971161044874,-6062.971161044874,-12125.942322089748,-6062.971161044874,939.1946666666666
Western Europe,2020-11-23,198272204,101612.58924704843,101612.58924704843,101612.58924704843,101612.58924704843,101612.58924704843,101612.58924704843,101612.58924704843,914513.3032234359,101612.58924704843,96812.359
Eastern Europe,2020-11-23,291464163,431681.7150639662,431681.7150639662,431681.7150639662,431681.7150639662,431681.7150639662,431681.7150639662,431681.7150639662,4316817.1506396625,431681.7150639662,89901.95666666667
Northern America,2020-11-23,375278947,383069.86784147157,383074.7373993214,383073.97675280296,383071.45493462647,383068.53086540214,383067.2832501843,383066.8737345067,1915357.5753744468,383071.5150748894,270816.987
South-eastern Asia,2020-11-23,675308604,88616.90333299316,199313.58360414353,192998.77737028725,115075.84384575927,-8211.861803201025,-55962.76636859108,-70586.87384024322,-268881.46148965653,-24443.769226332413,26420.331
Eastern Asia,2020-11-23,1613865100,36885.18109416564,692515.8061509978,681356.3471843713,229055.93220849105,-2722.852022926266,-158339.19252246773,-179945.90524536127,-558788.1017949018,-93131.3502991503,5970.5869999999995
Polynesia,2020-11-23,672480,-65.18727758471287,123.64825611116659,83.49677223057205,1.2757640050081143,-85.74592110434854,-153.2177685682211,-181.0483577039808,-112.4850556173965,-12.498339513044064,69.496
Northern Europe,2020-11-23,106197356,87176.68456499683,87315.40973188587,87287.97615932679,87208.10463639375,87131.44713600859,87105.47912309575,87093.28463162138,1220862.6026651724,87204.4716189409,85303.211
Northern Africa,2020-11-23,255737737,290761.1904677177,316773.2854033932,294074.01574367745,290761.1904677177,202536.69744324262,175731.99462194814,167232.14798177715,980047.1734530384,140006.7390647198,19420.429
Melanesia,2020-11-23,12188834,-821.0561266246319,3499.3239004491957,3197.4619890580643,923.9766150271553,-2228.5935970610926,-4286.272924218632,-5007.077875220902,0,0,9.758
Micronesia,2020-11-23,534606,13.727357284991845,269.3344150166487,240.20515423140753,75.25863436198269,-46.280473042465665,-232.6054915608763,-297.2642924763849,0,0,0
Central Asia,2020-11-23,75497721,60944.5568094116,63605.27995201487,63082.82605594811,61711.90405715729,60196.913948354224,59143.271507311554,58408.09480545252,292716.3005454231,58543.26010908462,4802.329
Other,2020-11-23,25642027,-3905.2506551516403,-3905.2506551516403,-3905.2506551516403,-3905.2506551516403,-3905.2506551516403,-3905.2506551516403,-3905.2506551516403,-7810.501310303281,-3905.2506551516403,941.521
Latin America and the Caribbean,2020-11-30,654992992,729057.5828139291,740876.8775109452,739092.4502021226,729187.016385209,718106.8339306524,709279.7236050623,706617.9100602454,31645083.228167564,703224.071737057,494432.897
Southern Asia,2020-11-30,1989452477,1599450.3805216702,1832285.9250871914,1772480.5720087425,1599450.3805216702,1303594.1283770313,1007594.820449587,672876.4932960952,1010251.251101681,112250.1390112979,204049.33733333333
Sub-Saharan Africa,2020-11-30,1136656566,264045.3048092464,476208.66781526164,430236.74434555677,264045.3048092464,-2295.5777426615277,-260864.1211763519,-378271.417836511,1783804.6107724232,36404.17573004945,31506.906666666666
Southern Europe,2020-11-30,150043376,222161.18231913896,222161.7210487776,222161.59876946453,222161.35682657512,222161.10417218736,222160.9655903469,222160.90013306908,3554580.3073143717,222161.26920714823,119373.32633333333
Western Asia,2020-11-30,289775883,294158.99569964514,384771.01473764743,368337.1088960152,294158.99569964514,191071.43449868305,158155.7307111634,143391.1211662543,301454.5000987117,16747.472227706206,48644.577333333335
