region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Micronesia,2021-03-08,554402,-0.039731597470020544,0.11447241429555464,0.08957711208103539,0.016982830671079654,-0.07945729099482533,-0.14402135096238824,-0.17142188521556379,0,0,0
Central Asia,2021-03-08,75250695,0.09694935540950812,0.1262556414965669,0.1199161122601658,0.11028981404415598,0.0962108216933479,0.08127562134520482,0.07984936366327904,0.5359246342986933,0.10718492685973864,0.013857679321101286
Other,2021-03-08,23855008,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,5.994548398390811e-4
Latin America and the Caribbean,2021-03-15,658613257,0.7863344467995078,0.8178619841565073,0.8128869917715359,0.8016912468469548,0.7863344467995078,0.7790270043330916,0.7755368485076097,32.69999011530134,0.7266664470066964,0.5370594901341319
Southern Asia,2021-03-15,1962272390,0.26889340823080754,0.4022167251302783,0.3632179647942914,0.2940484006117611,0.20447565040955917,0.08552549554042063,0.014298527672032104,0.09435174544761321,0.010483527271957022,0.01394154050141836
Sub-Saharan Africa,2021-03-15,1121670004,0.2645200071858629,0.3794739319561662,0.33326200305464876,0.2645200071858629,0.1201188756867141,0.03785638402388462,0.008741140347929197,0.6507519324964145,0.013280651683600297,0.016353205429927856
Southern Europe,2021-03-15,150192351,0.40101050243258324,0.40150119195878164,0.401451419392399,0.4012173393430544,0.4009287004846586,0.4007696771730577,0.4007331549807181,6.413162217952334,0.4008226386220209,0.45056555509940716
Western Asia,2021-03-15,284170120,0.40369830019905273,0.5307527504733317,0.48616412313495333,0.41385618571086935,0.3163951132277421,0.23350954734315094,0.22039481500414954,0.6018575291853265,0.0334365293991848,0.10466547292164285
Australia and New Zealand,2021-03-15,30914517,0.020292792996319288,0.020292792996319288,0.020292792996319288,0.020292792996319288,0.020292792996319288,0.020292792996319288,0.020292792996319288,0.040585585992638576,0.020292792996319288,0
Western Europe,2021-03-15,198599053,-0.17808530345433726,-0.17808530345433726,-0.17808530345433726,-0.17808530345433726,-0.17808530345433726,-0.17808530345433726,-0.17808530345433726,-1.6027677310890356,-0.17808530345433726,0.2915426792090494
Eastern Europe,2021-03-15,292475148,1.0507710755377424,1.0507710755377424,1.0507710755377424,1.0507710755377424,1.0507710755377424,1.0507710755377424,1.0507710755377424,10.507710755377426,1.0507710755377424,0.5420241722554834
Northern America,2021-03-15,371107718,0.03710419950832337,0.03719621345129409,0.03717064589341406,0.037138049479297906,0.03710419950832337,0.037083464219694676,0.037077683838233864,0.18569785568262884,0.03713957113652577,0.3348275823247631
South-eastern Asia,2021-03-15,674675391,0.2045041091309324,0.2899877627659112,0.27725231662331895,0.22945741424025537,0.13828808538764492,0.09802144215436578,0.08692553650245438,0.6775514560135614,0.06159558691032376,0.029313652556211288
Eastern Asia,2021-03-15,1658782555,-0.02771010964311325,0.09333310126756182,0.0829174475405503,0.023354713079434323,-0.029234368877889917,-0.0789018139719171,-0.11461145869005307,-0.03268899701321045,-0.004669856716172921,0.0031089668651597315
Polynesia,2021-03-15,633057,-0.1608632254441672,-0.016212306401105506,-0.029098193389940727,-0.07812731446786728,-0.1608632254441672,-0.23429012872441776,-0.2575032965471485,-1.1270865618861563,-0.12523184020957295,0
Northern Europe,2021-03-15,106727166,-0.17017402335090387,-0.1686349401990716,-0.16890040011823,-0.1696487402942948,-0.17046743521794971,-0.17087725905706208,-0.1709468585822696,-2.3803043473117986,-0.17002173909369991,0.20399117503035732
Northern Africa,2021-03-15,250023393,0.33819554049652994,0.4361915644235549,0.4172177883107615,0.3814604358163005,0.3293045486858058,0.2899944627991489,0.2732109051072567,1.183249703203355,0.19720828386722586,0.04062499863762748
Melanesia,2021-03-15,11328580,-0.05240295379269728,0.2014137015648209,0.17052785933963738,0.08973410131032736,-0.05240295379269728,-0.11340777721057418,-0.15229021522112818,0,0,0.012614114037240325
Micronesia,2021-03-15,554402,-0.02711976641920568,0.12139831871353983,0.10135744402454394,0.02334853418193876,-0.07423548117659054,-0.1332964653038316,-0.1656623110701192,0,0,0
Central Asia,2021-03-15,75250695,0.10057052008353551,0.12342157687909067,0.11817757389549029,0.11100999484875855,0.098037770989882575,0.08384814254254401,0.08078454275652196,0.5359246342986933,0.10718492685973864,0.012340085363995642
Other,2021-03-15,23855008,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,0
Latin America and the Caribbean,2021-03-22,658613257,0.8074201371729018,0.832008294919032,0.8270875747779027,0.8177938217971679,0.801404084119953,0.7934160491915232,0.7915242914699924,33.16647350231456,0.7370327444958792,0.595407389438564
Southern Asia,2021-03-22,1962272390,0.24126299592703282,0.4756450431667928,0.4446417331882684,0.31117204250115454,0.19079324826170893,0.08891663000614788,0.026774717233239237,-0.031169491256356287,-0.0034632768062618094,0.01730498791760506
Sub-Saharan Africa,2021-03-22,1121670004,0.290629914515146,0.3970428707563078,0.3539410832852238,0.290629914515146,0.12844146623937416,0.053490560372212594,0.037344936927341636,0.7218958515772774,0.014732568399536274,0.018085889724835682
Southern Europe,2021-03-22,150192351,0.5394554100676707,0.53996944629961,0.5398812014046888,0.5396467035616385,0.539398665626866,0.5392481222318147,0.539190127790073,8.6295961864934,0.5393497616558375,0.5217129865688034
Western Asia,2021-03-22,284170120,0.5151820950325988,0.6224113112023913,0.5880998111365908,0.5151820950325988,0.3923989108054057,0.3086028596288825,0.27525358730041255,0.5897319957699423,0.03276288865388568,0.13191323563504848
Australia and New Zealand,2021-03-22,30914517,-0.009845613685379813,-0.009845613685379813,-0.009845613685379813,-0.009845613685379813,-0.009845613685379813,-0.009845613685379813,-0.009845613685379813,-0.019691227370759627,-0.009845613685379813,0
Western Europe,2021-03-22,198599053,-0.08362362442508108,-0.08362362442508108,-0.08362362442508108,-0.08362362442508108,-0.08362362442508108,-0.08362362442508108,-0.08362362442508108,-0.7526126198257297,-0.08362362442508108,0.27470976913469974
Eastern Europe,2021-03-22,292475148,1.1410253861608899,1.1410253861608899,1.1410253861608899,1.1410253861608899,1.1410253861608899,1.1410253861608899,1.1410253861608899,11.410253861608899,1.1410253861608899,0.5725522361305037
Northern America,2021-03-22,371107718,0.0745426551513372,0.07463652569476474,0.07462552673134487,0.07458887939065952,0.0745426551513372,0.07452599482434523,0.07452067482080822,0.37285953270585886,0.07457190654117177,0.28513096027822304
South-eastern Asia,2021-03-22,674675391,0.2187736177418271,0.32163707346841314,0.30513405361864365,0.24032641333964974,0.14945589363242373,0.11380463533660623,0.10191415394494291,0.6775514560135614,0.06159558691032376,0.027695837508322576
Eastern Asia,2021-03-22,1658782555,-0.0054452625755638095,0.09676684860039812,0.08613728229948674,0.031623429188185365,-0.023092684183366585,-0.07702452958427446,-0.11364494937024823,-0.03526920259054678,-0.005038457512935255,0.0022735951669084196
Polynesia,2021-03-22,633057,-0.13341971211534626,-0.006719261076537578,-0.01638032449463729,-0.07778364395196548,-0.1424218856473959,-0.20301160219409095,-0.23129080954562337,-1.1270865618861563,-0.12523184020957295,0.07898182944031897
Northern Europe,2021-03-22,106727166,-0.0924920768902018,-0.09089340523566518,-0.09121463110089163,-0.0920200495369881,-0.09282169698885548,-0.09317210015694281,-0.09329013078863899,-1.2911720827110704,-0.09222657733650504,0.13438752791393335
Northern Africa,2021-03-22,250023393,0.3491209043994793,0.4481491116367876,0.4414972079501703,0.39070825863427694,0.33646790764165485,0.29177177046409397,0.2864211152335289,1.183249703203355,0.19720828386722586,0.03753928737380186
Melanesia,2021-03-22,11328580,-0.07003270814689604,0.20972285695916157,0.1770222633429721,0.08307130535803763,-0.07003270814689604,-0.10074874708170446,-0.15535283603738648,0,0,0.012614114037240325
Micronesia,2021-03-22,554402,-0.02009483589167044,0.11767028329205367,0.11100817878847646,0.031509262359766005,-0.06924440822932769,-0.13538330161747092,-0.14609890554560256,0,0,0
Central Asia,2021-03-22,75250695,0.08517377454379346,0.11358243123537612,0.1074460989923849,0.09725622990447814,0.08309589481229065,0.06717778113971916,0.06434366914460744,0.4705167506141812,0.09410335012283624,0.4362564359040139
Other,2021-03-22,23855008,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,0
Latin America and the Caribbean,2021-03-29,658613257,0.8187700169282273,0.8535843448868924,0.8517714994561518,0.8381780115160876,0.8187700169282273,0.8140835296954753,0.8105823272362419,33.695019108035815,0.748778202400796,0.6794146568476984
Southern Asia,2021-03-29,1962272390,0.3877839917359707,0.8776430110798364,0.7852901784387613,0.5691598967704581,0.3732594472457749,0.2513134783100646,0.199676895682835,0.12972691285019566,0.014414101427799517,0.023515032997024433
Sub-Saharan Africa,2021-03-29,1121670004,0.28015854940228846,0.40027974514313974,0.3723049373141103,0.28015854940228846,0.15233751426150752,0.07894902846143781,0.0597019980971539,0.758840763942073,0.01548654620289945,0.017206486694994118
Southern Europe,2021-03-29,150192351,0.5825497892671821,0.5830593790520892,0.5829754561221564,0.5827581685783692,0.5825181296380301,0.5823923606393231,0.5823526932344517,9.318389110251646,0.5823993193907279,0.6078871486604535
Western Asia,2021-03-29,284170120,0.5811535018001257,0.7363821762475722,0.6752145206551141,0.5811535018001257,0.4710777257718017,0.3845820955942608,0.33585664915015295,0.5162548828349143,0.02868082682416191,0.16016567822120073
