region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
EMRO,2021-12-06,739378959,1527.0297372765708,2387.587079428932,2178.9759320275334,1736.2880395268257,1289.1989882010512,1051.7185629440057,1008.2596780047817,5880.669208915051,280.0318670911929,225.572
AFRO,2021-12-06,1148918838,2879.1726298651993,3469.326358675244,3284.3678053879025,2879.1726298651993,1605.5929145787622,1097.8002091925307,993.7150882836129,9292.316658407915,197.70886507250884,71.285
EURO,2021-12-06,935273721,8257.22008901062,8333.150479342474,8295.727666539698,8257.22008901062,7896.732364254195,7681.858531106535,7668.217762292741,380520.41794070986,7179.630527183205,4174.859
AMRO,2021-12-06,1026162142,3173.829513209488,3356.096615591712,3331.1687861154583,3279.933142520891,3173.829513209488,3113.511677449398,3093.761997434481,101890.97910540587,2911.170831583025,2317.715
WPRO,2021-12-06,1939733436,1840.051007653186,5382.108147663506,4284.24446930286,3348.051298971886,1745.241890320966,554.4288770831632,226.99375442697018,7862.744582395381,291.21276231094004,464.57099999999997
SEARO,2021-12-06,2040340794,8848.127460706792,16210.652597577047,13596.389200901822,8848.127460706792,5023.93541130169,2701.3832651048333,2597.168811484616,3047.635997080811,277.0578179164374,760
Other,2021-12-13,44430902,48.861418909667805,75.57978298552109,73.58928032015741,55.62361651636651,44.000110853999445,38.04157010714526,37.52489509836165,1157.887108427336,32.16353078964822,5.8580000000000005
EMRO,2021-12-13,739378959,1475.3331743069828,2343.465335167353,2228.5423140833022,1663.8793173679803,1191.860256597973,1017.8127168766435,979.1605069416178,5248.56920891505,249.93186709119286,208.716
AFRO,2021-12-13,1148918838,3186.1629392297937,4330.089152276182,3889.979516803253,3186.1629392297937,2107.6636787774605,1599.5947478284972,1517.5178457139734,16609.545229836487,353.3945793582231,68.14099999999999
EURO,2021-12-13,935273721,7711.599579912975,7789.920454130559,7780.043944887944,7711.599579912975,7367.074379635394,7192.95543783559,7156.191950348951,356560.3293692813,6727.553384326062,4097.573
AMRO,2021-12-13,1026162142,2896.586114193648,3089.714649157428,3065.686541936557,3006.9334635378314,2896.586114193648,2834.8517469847598,2818.843992750894,91236.22910540587,2606.7494030115963,1897.1419999999998
WPRO,2021-12-13,1939733436,1978.3071160395684,4778.150669953653,4752.04757047153,3530.1423976629644,1837.9777414330654,822.6532661186059,679.6835252713736,7767.8588681096635,287.6984765966542,477.42900000000003
SEARO,2021-12-13,2040340794,7029.123195034392,13202.338392749676,10759.427700307939,7029.123195034392,3755.601495546585,2562.5322547669525,1967.3846447669441,3047.635997080811,277.0578179164374,381.85799999999995
Other,2021-12-20,44430902,48.827801625494224,77.41866569578502,73.24475990795555,58.68955831407499,45.267281177731185,39.97004401835777,37.630289993744256,1157.887108427336,32.16353078964822,5.287
