continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2021-08-23,1062311981,5708.340970061261,5708.883676165851,5708.845473453528,5708.646069292025,5708.22819303645,5708.002086960766,5707.956549878521,262563.8264609899,5707.909270891085,2289.2889999999998
"W. Europe, NA, and Aus/NZ",2021-08-30,1062311981,5846.17297835438,5846.696709248339,5846.682191241269,5846.480043115437,5846.057035108678,5845.888573661995,5845.836813662021,268907.0950324176,5845.80641374821,2659.145
"W. Europe, NA, and Aus/NZ",2021-09-06,1062311981,6654.113142533035,6654.737882190072,6654.679249494446,6654.375651867168,6654.059970907732,6653.851288616058,6653.844259985687,306081.6113457821,6653.9480727343935,2768.117333333333
"W. Europe, NA, and Aus/NZ",2021-09-13,1062311981,6041.254696552158,6041.930135980116,6041.840652515365,6041.514484485812,6041.169768113244,6040.983257289981,6040.961239548557,277890.0513457817,6041.088072734386,3235.343
"W. Europe, NA, and Aus/NZ",2021-09-20,1062311981,5342.14179838251,5342.9232080243355,5342.797770341538,5342.529404095132,5342.093530945581,5341.811036043987,5341.718763452298,245689.7884886396,5341.082358448687,3302.431
"W. Europe, NA, and Aus/NZ",2021-09-27,1062311981,5157.590568055345,5158.3179617170645,5158.196766017731,5157.8810734514445,5157.517235617292,5157.224495262136,5157.107333247999,237199.765631497,5156.516644162978,3404.286
"W. Europe, NA, and Aus/NZ",2021-10-04,1062311981,4625.352990340644,4625.939776096044,4625.919018880034,4625.628194128231,4625.220886659647,4624.973744541486,4624.891098203808,212742.52802780987,4624.837565821954,3177.429
"W. Europe, NA, and Aus/NZ",2021-10-11,1062311981,4800.912686851291,4801.618510696469,4801.576735065733,4801.279130492009,4800.793691558868,4800.511783597259,4800.450121277742,220812.7680278099,4800.277565821954,2883.4556666666667
"W. Europe, NA, and Aus/NZ",2021-10-18,1062311981,4989.75350444359,4990.536151145507,4990.470353508386,4990.191454591143,4989.683153607267,4989.393182722539,4989.280638040477,229499.2765992385,4989.114708679098,3095.346
"W. Europe, NA, and Aus/NZ",2021-10-25,1062311981,5009.637884670909,5049.931642919114,5047.173275057332,5017.785561587598,4992.4214843190375,4979.415896980573,4974.986198221247,227614.95983284333,4948.151300713986,3084.3333333333335
