region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
WPRO,2021-06-07,1924140566,284459.20300219266,861041.0835606948,782100.3560480524,349078.0149268522,88599.81780823645,-225259.58105415432,-326179.47565344383,-1650223.612235765,-61119.393045769066,46197.97466666667
SEARO,2021-06-07,2030500787,4345183.426402567,5932333.999899503,5813723.966503867,4458039.323919979,3284658.395754947,1373078.0967668332,1100198.70796271,82782.20293466702,8278.220293466702,430471.7363333333
Other,2021-06-14,44753371,4074.8162875974363,9825.63800517036,9012.270150991264,6459.276621217158,3218.6012516977526,26.320299255257943,-2961.499710254803,35107.476119095925,975.2076699748873,7128.529333333333
EMRO,2021-06-14,761408469,1608546.7900609402,1754374.9762405287,1744591.2145787342,1608546.7900609402,1136230.759334126,899954.0125145537,852885.6204933478,8301526.937033644,395310.8065254116,205705.10566666667
AFRO,2021-06-14,1162657993,834033.2979153857,1262045.9508002992,1192847.3553507682,855002.8379342424,418002.33413394954,139579.29334653667,45988.407447351005,9222766.538281387,196229.0752825827,89907.27666666667
EURO,2021-06-14,932917123,2020241.1276414942,2057018.3758405147,2050393.06024661,2020241.1276414942,1939468.0685253413,1895793.5981046017,1892485.9757085084,94547173.02527311,1783908.925005153,1171626.6916666667
AMRO,2021-06-14,1026253581,2420307.01924733,2437081.0273923567,2433201.4161838787,2420307.01924733,2392089.0319315824,2374441.9330900516,2373134.9892230486,79514267.71853761,2271836.220529646,1824154.423
WPRO,2021-06-14,1924140566,296229.1308932885,868385.2889897242,798498.4985865628,364473.3576755214,101740.1511207391,-217688.2573693456,-323044.639045561,-1512749.546477127,-56027.760980634324,48221.975666666665
SEARO,2021-06-14,2030500787,4488468.271702324,6109133.992197975,6016713.101733494,4557865.185337688,3362018.6634378657,1430405.5838544196,1162066.8678166962,93180.66309204343,9318.066309204341,451612.73733333335
Other,2021-06-21,44753371,4588.266895313802,10454.595517315256,9723.029321298562,7012.056834528799,3756.981899105368,536.4432910686575,-2601.3734840279267,53577.75177352664,1488.2708825979626,7263.531333333333
EMRO,2021-06-21,761408469,1651056.066302701,1804922.0224240192,1791321.6299357659,1651056.066302701,1150902.042240332,913872.6221746721,866192.3406461882,8395045.664721856,399764.07927246933,209066.09966666668
AFRO,2021-06-21,1162657993,854602.5480306708,1288784.4506997452,1223659.8845402698,876294.7098394887,431582.32852104004,151049.66627357935,60371.1898021997,9430065.409792839,200639.68957006038,92013.30366666666
EURO,2021-06-21,932917123,2042653.979231667,2078815.7059230965,2072446.5565717092,2042653.979231667,1961310.3350297983,1916695.2016527054,1912211.9789821347,95533174.1193541,1802512.719233096,1178732.7206666667
AMRO,2021-06-21,1026253581,2455091.211371877,2471329.7076650946,2467986.1247654944,2455091.211371877,2425586.963699045,2408131.2438103515,2406155.4416390276,80462314.61143716,2298923.27461249,1855209.237
WPRO,2021-06-21,1924140566,309169.38321752776,881241.7615886875,818826.7634234851,386130.00978790916,113531.98953068934,-208017.41137064583,-319164.54435186606,-1378337.2807184889,-51049.528915499584,50162.98466666666
SEARO,2021-06-21,2030500787,4586115.2807351155,6259514.294635662,6143265.925681222,4643690.473931885,3473659.3737340234,1475200.921937652,1215888.0039369508,103579.12324941983,10357.912324941983,467074.74333333335
Other,2021-06-28,44753371,5111.589413693111,11088.267282783181,10410.574779718685,7562.320867209202,4301.401083371568,1063.4850240032392,-2226.30079845604,72048.02742795735,2001.3340952210378,7344.535333333333
EMRO,2021-06-28,761408469,1698203.300601235,1863251.5562574759,1848166.1149942246,1698203.300601235,1166135.1411078684,929077.6332032433,880207.9553174953,8495475.072410068,404546.43201952707,212442.10866666667
AFRO,2021-06-28,1162657993,878401.062660081,1317251.3155744858,1257560.6973358928,907821.0907151488,449099.6179466008,164289.0019391733,77232.35833591197,9710280.08130429,206601.7038575381,94784.31666666667
EURO,2021-06-28,932917123,2063332.994552034,2099565.8685050183,2093657.8454701928,2063332.994552034,1981481.2628378705,1936162.1439267113,1930811.4500062722,96434871.29343508,1819525.8734610393,1186421.7376666667
AMRO,2021-06-28,1026253581,2490815.665530728,2506868.8852625587,2503523.72591427,2490815.665530728,2460082.1173568424,2442408.6992513845,2440231.4623128353,81474798.25433668,2327851.378695334,1883384.237
WPRO,2021-06-28,1924140566,325249.9068545518,900063.7298034386,836455.5288927003,404691.28415722057,129572.01082581263,-199381.26388333898,-314955.421942447,-1243887.2149598508,-46069.89685036484,51851.986666666664
SEARO,2021-06-28,2030500787,4669997.593860706,6350537.320860482,6241682.59389937,4739376.097138427,3562778.468136875,1515721.1998324427,1268577.837170204,113977.58340679624,11397.758340679624,479620.7523333333
Other,2021-07-05,44753371,5193.485012458102,11269.697339976676,10618.49772785732,7673.966547173644,4390.342947538011,1134.201092145285,-2297.8223792613135,74372.09405012999,2065.8915013925002,7415.5363333333335
EMRO,2021-07-05,761408469,1735611.5306675925,1909759.918650933,1897170.2737683817,1735611.5306675925,1180109.9931618508,944396.4959944813,892776.7943282403,8570805.60525957,408133.6002504557,215993.10366666666
AFRO,2021-07-05,1162657993,903448.7726419113,1347717.753208151,1295018.0159311069,942806.8008153468,478238.51013322297,179954.77144319555,95013.13471636994,10051187.80356843,213855.05965039213,99211.34766666667
EURO,2021-07-05,932917123,2089685.1477515844,2125825.973724917,2120473.985896797,2089685.1477515844,2006842.4165563646,1961587.6914437136,1955391.4048864865,97640618.12665585,1842275.8137104877,1194161.7566666666
AMRO,2021-07-05,1026253581,2519220.1937597776,2535604.6381329293,2532638.286806921,2519220.1937597776,2487881.1852650153,2470089.4493274954,2467092.223720651,82274737.68702118,2350706.791057748,1909784.24
WPRO,2021-07-05,1924140566,344106.8056298946,918950.8717898946,866545.5301933326,426473.59036648634,141546.37166535284,-187974.95128940622,-310828.97934910277,-1047153.1427496,-38783.44973146666,53618.98966666667
SEARO,2021-07-05,2030500787,4747052.874450281,6431519.330795648,6336204.802179348,4851717.736519252,3645466.4100087946,1556962.7144844248,1321887.671498624,131048.08227385012,13104.80822738501,490778.7523333333
Other,2021-07-12,44753371,5268.816257384652,11455.7225250278,10810.692495255038,7775.613654478754,4440.092045923519,1182.942787857859,-2361.507051353714,76696.16067230263,2130.4489075639626,7482.547333333333
EMRO,2021-07-12,761408469,1772906.5796921502,1952224.774691223,1937195.2792285327,1772906.5796921502,1194649.2819486486,961371.1793962816,907663.6357842847,8661971.818109073,412474.8484813844,219691.10566666667
AFRO,2021-07-12,1162657993,924393.8159660014,1387527.9357072227,1334398.3843349703,980706.3045427909,502812.4452585616,193942.36452094276,116195.12393103733,10534637.125832569,224141.21544324615,103350.34266666666
EURO,2021-07-12,932917123,2118554.5245619696,2154363.520937328,2150249.9035751405,2118554.5245619696,2035551.159508146,1989435.1411065613,1983775.9732519141,98970658.43987662,1867370.913959936,1201651.7706666666
AMRO,2021-07-12,1026253581,2547572.042943812,2564490.556061772,2562054.76206947,2547572.042943812,2515702.4655198483,2498082.9847426508,2494961.489555156,83090054.36970566,2374001.553420162,1933222.228
WPRO,2021-07-12,1924140566,363023.25097239204,938700.665618067,893620.0733381909,446107.7922663721,153371.72496263447,-174915.62785010505,-301283.68740402017,-847173.6705393492,-31376.802612568485,55536.98966666667
SEARO,2021-07-12,2030500787,4834763.262103559,6545151.787277094,6440878.420398859,4976683.460818573,3734770.734549266,1603898.4702409874,1385326.5750691534,148118.581140904,14811.858114090397,507305.7453333333
Other,2021-07-19,44753371,5354.18823216723,11688.555039125995,10991.930166992312,7894.408747596118,4519.110830707864,1149.4845895898518,-2405.968004475135,79020.22729447528,2195.006313735425,7532.548333333333
EMRO,2021-07-19,761408469,1806463.3482565007,1994498.077299677,1975793.1599126004,1806463.3482565007,1212788.3437015247,976342.5119498018,921765.2011304798,8745925.790958574,416472.65671231307,223697.10766666668
AFRO,2021-07-19,1162657993,947889.0105310333,1424534.9811058159,1373186.06697989,1016996.4726861947,522684.53018695966,208055.63416688112,135961.82182021244,10982150.24809671,233662.77123610018,108214.34866666667
EURO,2021-07-19,932917123,2147477.196658512,2183551.093597008,2179430.029747599,2147477.196658512,2063316.0521516213,2017116.7350531488,2011401.0751749007,100307016.35309738,1892585.2142093845,1209337.7776666665
AMRO,2021-07-19,1026253581,2577799.814503444,2594813.6941362554,2592842.0528658153,2577799.814503444,2545382.8326613796,2527769.746793218,2524296.315838662,83981044.55239014,2399458.4157825755,1954675.24
WPRO,2021-07-19,1924140566,383583.08754808607,962562.1552888245,921863.3623980427,479610.36819580616,166609.86691066046,-161760.56048758785,-296311.62821380777,-644607.5983290983,-23874.355493670304,57822.986666666664
SEARO,2021-07-19,2030500787,4937098.305429852,6668280.079016785,6551140.241662974,5080690.832434175,3831043.1182408514,1653463.869377904,1454029.8050652365,165189.08000795785,16518.908000795785,522519.75533333333
