custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2020-09-28,4640537428,2152549.3404728794,3147087.281576207,2966689.1954895817,2288426.186221919,1181642.3319417166,638461.6437136445,487336.4051313956,3980308.5381253096,78045.26545343745,191421.195
Asia,2020-10-05,4640537428,2281572.073704102,3265786.3850196623,3177851.040160848,2404944.6333222957,1261425.9937079928,633919.6817207014,554215.966029626,4296629.8515124265,84247.64414730248,203580.202
Asia,2020-10-12,4640537428,2410309.4778260128,3385310.0869670967,3291846.4266676926,2516568.1446415433,1319844.198014576,662976.2489619617,586627.3048929183,4599344.364899542,90183.2228411675,215115.215
Asia,2020-10-19,4640537428,2537296.0122986436,3514660.3689230117,3413416.9864026844,2626988.9683592976,1378533.965956515,749261.2852180711,622168.9184494095,4910055.678286659,96275.60153503252,225972.215
Asia,2020-10-26,4640537428,2656511.350511708,3665416.6291696685,3537466.5309964707,2739256.7732076966,1434470.636455958,827424.3987100658,645218.7442492151,5214432.791673775,102243.78022889754,236307.21099999998
Asia,2020-11-02,4640537428,2781105.0038727755,3824096.496164672,3668007.5881297756,2837309.825758463,1504492.6070191637,907972.9619856457,684053.2326137981,5575364.737318954,109320.87720233244,246374.23299999998
Asia,2021-07-12,4640537428,6847768.736809555,9553528.883298568,9124935.550499678,6965012.846089123,4447390.154576681,2964669.141266701,2514430.1985823778,9405841.071707547,184428.2563079911,832308.47
Asia,2021-07-19,4640537428,7002444.967229364,9776311.310606515,9388877.28028155,7078994.971354725,4568841.831118482,2991931.076191769,2587088.364871304,9405841.071707547,184428.2563079911,853460.482
Asia,2020-07-27,4640537428,911473.0550556682,1835232.107188451,1657370.4652688988,1068845.532628571,422359.6855229268,140308.57067214986,-82903.55309821658,827670.3559722609,16228.83050926002,91327.166
Asia,2021-03-29,4640537428,4530858.293323318,6360773.473436559,5832829.414650675,4710086.556354604,2692217.553895692,1939962.192368635,1722944.5558919737,8489616.515455402,166463.0689304981,429758.35699999996
Asia,2021-04-05,4640537428,4625106.080027965,6487353.037070863,5951275.61729293,4792725.875333086,2766316.8777567917,1961376.6875752525,1746629.5844322785,8540367.639623126,167458.18901221818,440280.365
Asia,2020-12-14,4640537428,3512656.1868751096,4573050.346299102,4393481.10087883,3571132.9526661173,1889906.5641984355,1288251.169628324,932154.6866554528,7852252.669254553,153965.73861283436,314483.295
Asia,2020-12-21,4640537428,3620286.30486415,4716475.06092099,4548143.243134898,3659047.8760972586,1970979.7936309734,1338310.384153938,990994.6173235888,8062655.467297376,158091.28367249758,324641.303
Asia,2020-12-28,4640537428,3693549.541576918,4853452.068537358,4646861.07553631,3748116.0147978235,2040740.4485236844,1370819.2209355845,1015566.3771505726,8280432.78725111,162361.42720100217,334047.315
Asia,2021-01-04,4640537428,3761029.2017829563,4983495.144871555,4739729.788144008,3877204.4023196343,2093138.862813097,1400810.0203337234,1060513.8505542052,8327253.603805571,163279.48242756023,342711.306
Asia,2021-01-11,4640537428,3827528.796199518,5081574.4166283095,4825652.926617968,3956689.06726443,2153557.8819003864,1436981.3635860728,1134412.9368434858,8377742.086931805,164269.45268493737,350332.283
Asia,2021-01-18,4640537428,3893332.263906832,5202008.936114198,4910014.337391255,4032529.579697661,2215959.625872207,1467452.3635382748,1207391.3166033768,8423955.07005804,165175.58960898116,358659.27999999997
Asia,2021-01-25,4640537428,3957675.6375391376,5326318.305267215,5001978.753805865,4059309.367259605,2272956.6717727575,1496264.8132121435,1275261.253629392,8456695.553184273,165817.5598663583,366573.29099999997
Asia,2021-02-01,4640537428,4021962.6869401434,5436523.920544786,5083858.50300901,4130295.925022046,2329422.512129984,1523568.4824724696,1341238.846393313,8426991.448156994,165235.12643445088,374620.288
Asia,2021-02-08,4640537428,4081469.8459329503,5555698.654940379,5171400.348999633,4174740.0520210685,2374661.927576439,1548287.900202426,1405469.7353748041,8383840.343129715,164389.02633587676,381321.283
