custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-11-15,658737988,330.0557883861302,337.51849978989827,337.4718399332325,332.9888221097052,326.0563354021705,322.3624116549625,321.9064147659594,14118.344828819561,294.1321839337409,229.61788306643095
Asia,2021-11-15,4678110154,189.55924227210903,269.57818133435796,252.09448135423457,210.8383709200091,159.22531643056894,107.36344229437199,94.32285920592666,693.1614442500421,13.86322888500084,25.45422256995162
Oceania,2021-11-15,43430556,-32.21146425461424,-0.07970582804557945,-4.728101640274403,-15.02358029594098,-32.21146425461424,-37.715148457279106,-39.882117922247694,-616.3089080645337,-26.796039481066686,9.198050945207024
European Union,2021-11-15,447045744,230.95988196183146,230.95988196183146,230.95988196183146,230.95988196183146,230.95988196183146,230.95988196183146,230.95988196183146,6235.91681296945,230.95988196183146,183.4444640934404
North America,2021-11-15,370982987,258.8706883655375,259.1513433978483,259.10699578658273,258.9699150017689,258.79067996393894,258.65753029806024,258.63837385048345,517.1120703929047,258.55603519645234,213.39764995746287
Latin America and Caribbean,2021-11-22,658737988,331.1169547994552,338.65700986982347,338.6206190503979,334.0949731952319,327.1229416800544,323.44282176163443,322.9360542145736,14156.240184019542,294.9216705004072,230.2767175467646
Asia,2021-11-22,4678110154,191.58921289327375,271.66119294445906,254.10151058026563,212.64663087463987,160.56366350129508,108.86730588048742,95.60219816968345,700.7533260199855,14.01506652039971,25.668176467369836
Oceania,2021-11-22,43430556,-31.778405353180606,0.5790349107288906,-4.131698344441366,-14.522002781328458,-31.778405353180606,-37.57055974193281,-39.54082334652927,-616.9235434161047,-26.822762757221952,9.596383400356805
European Union,2021-11-22,447045744,236.66472732056133,236.66472732056133,236.66472732056133,236.66472732056133,236.66472732056133,236.66472732056133,236.66472732056133,6389.9476376551565,236.66472732056133,186.08468629853084
North America,2021-11-22,370982987,261.98449937293015,262.31773103937724,262.2497425313207,262.1161144174633,261.8881987387073,261.7308531800313,261.7043335138264,523.2120312380508,261.6060156190254,215.60395113213102
Latin America and Caribbean,2021-11-29,658737988,332.28352965656734,340.03760544226725,339.7962984907561,335.33503106252283,328.2604558316254,324.57513462661774,324.0604803336363,14198.498548568241,295.8020530951717,231.00174162113146
Asia,2021-11-29,4678110154,193.39457302803893,273.6918453874577,256.08538635004624,214.7640007777899,161.84220098716827,110.03781203070915,96.74940193768536,708.1864470990623,14.163728941981242,25.885850093359444
Oceania,2021-11-29,43430556,-31.505759078651874,1.1243267634534901,-3.528597008815682,-14.113854708156964,-31.505759078651874,-37.49668879956821,-39.335700241961256,-613.9868081612301,-26.695078615705658,9.732239363149452
European Union,2021-11-29,447045744,243.08808975346338,243.08808975346338,243.08808975346338,243.08808975346338,243.08808975346338,243.08808975346338,243.08808975346338,6563.37842334351,243.08808975346338,188.87925445350695
North America,2021-11-29,370982987,265.5932414518062,265.95575978889605,265.932722508812,265.7709237898715,265.50334958497274,265.3338969898693,265.2968071033342,530.2796914456478,265.1398457228239,217.3776173730576
Latin America and Caribbean,2021-12-06,658737988,333.4100464937593,341.37412613507024,340.97078962358574,336.5204312587374,329.3893658016286,325.6112577935705,325.20475262112166,14241.24964414365,296.6927009196594,231.676365839099
Asia,2021-12-06,4678110154,195.30323152834683,275.62669651943435,257.9239430417627,216.48800046956768,163.15134843452697,110.88705196450563,98.18480063492802,713.6749878208838,14.273499756417674,26.13996984703466
Oceania,2021-12-06,43430556,-31.08422240756635,1.6815041758162406,-2.8453210515616583,-13.618759664122068,-31.08422240756635,-37.08996186120117,-38.96434469783026,-610.3414934444668,-26.536586671498554,9.888822668230787
European Union,2021-12-06,447045744,249.04879644621838,249.04879644621838,249.04879644621838,249.04879644621838,249.04879644621838,249.04879644621838,249.04879644621838,6724.3175040478955,249.04879644621838,191.86664582882898
North America,2021-12-06,370982987,269.4052256327309,269.8076325451651,269.78513870299525,269.62513009985906,269.3236062158335,269.14409606941024,269.09620168042835,537.7423023791118,268.8711511895559,220.55539139858183
Latin America and Caribbean,2021-12-13,658737988,334.41487474113995,342.50083661351607,342.00383018562235,337.60757832351106,330.42675971984056,326.51349392115213,326.23081153006444,14276.613887755699,297.42945599491037,232.28981186371175
Asia,2021-12-13,4678110154,196.98591291578583,277.42951967210246,259.6760915972748,218.0910626234884,164.26263349530188,111.81021006612912,99.44695911761876,718.962913343596,14.379258266871918,26.33329607712069
Oceania,2021-12-13,43430556,-31.032733914005625,1.9038931020540197,-2.439746210080202,-13.431315442859901,-31.032733914005625,-37.17119891577734,-38.92634539886391,-611.9347945999018,-26.60586063477834,10.091454197976804
European Union,2021-12-13,447045744,254.26136046120746,254.26136046120746,254.26136046120746,254.26136046120746,254.26136046120746,254.26136046120746,254.26136046120746,6865.056732452602,254.26136046120746,194.9690133574638
North America,2021-12-13,370982987,272.9064551857162,273.39350700097594,273.33556695349205,273.1613128844501,272.83235453324886,272.6213841904298,272.5736312568072,544.5745879116971,272.28729395584855,223.04795853077758
Latin America and Caribbean,2021-12-20,658737988,335.5576412640006,343.8236074975665,343.13795393997896,338.86561955156947,331.6584822670127,327.56952389235516,327.3605069860669,14317.37645371256,298.27867611901166,232.8955155080566
Asia,2021-12-20,4678110154,198.56685736722588,279.1091647500665,261.5063970459886,219.66460512622234,165.6850473759034,112.73615688632805,100.58106502221891,724.1855133416967,14.483710266833937,26.510953928825906
Oceania,2021-12-20,43430556,-30.44390899523198,2.648645910707074,-1.503545532089953,-12.679757995938264,-30.44390899523198,-36.73528027755179,-38.33292250349071,-601.45047003947,-26.150020436498696,10.197379620621636
European Union,2021-12-20,447045744,258.9271347946467,258.9271347946467,258.9271347946467,258.9271347946467,258.9271347946467,258.9271347946467,258.9271347946467,6991.032639455461,258.9271347946467,198.11925003659877
North America,2021-12-20,370982987,276.50196213287546,277.09420028924427,277.0566184615506,276.80750151759395,276.4480469153057,276.20504905557135,276.1568707897636,551.5659103868578,275.7829551934289,225.63567908304108
Latin America and Caribbean,2021-12-27,658737988,336.74882302058194,345.34001216533363,344.26707771398344,340.2096024850333,332.8087030876577,328.77049282841705,328.56398688632527,14353.778983660213,299.0370621595878,233.34957008734102
Asia,2021-12-27,4678110154,200.04225052581657,281.0174392997235,263.1469356301602,221.2147728149392,166.57502553956755,113.62291212830165,101.56881573401611,728.6763168536198,14.573526337072398,26.689316851572936
Oceania,2021-12-27,43430556,-30.26713583208954,2.9728954329246307,-1.0015521954120663,-12.353420379705664,-30.26713583208954,-36.57751650787571,-38.17026205379914,-600.0834130544291,-26.09058317627952,10.312508241125593
European Union,2021-12-27,447045744,262.7553214650212,262.7553214650212,262.7553214650212,262.7553214650212,262.7553214650212,262.7553214650212,262.7553214650212,7094.393679555571,262.7553214650212,200.79660602547497
