world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2021-02-01,7882631890,20274.28330578439,23577.24646720672,23122.611522342242,21102.96791583353,18909.515655425163,15603.741358321138,12721.054561093015,2780786.802301956,12143.173809178847,14248.143
World,2021-02-08,7882631890,16871.546685228797,20691.651316387986,20534.125997211624,17793.443446984402,15524.95009008601,11970.587998421328,9822.047861945935,2173029.2534924354,9489.210713940765,12874.762333333334
World,2021-02-15,7882631890,16566.530093258643,19976.702615189693,19556.349444688323,17599.303961829068,15276.530697331447,11561.625271767762,9327.75354252635,2014502.9222575666,8796.95599239112,11565.859
World,2021-02-22,7882631890,15342.25092229838,18255.659130951088,17603.16109341598,15896.194986245593,13578.506700685735,10063.194109059335,8416.4702354942,1693477.0913051853,7395.096468581595,9890.863
World,2021-03-01,7882631890,16691.053349406513,21019.046899907375,20141.3151742912,18199.197948790683,15529.582523780635,11228.776507457176,10685.51565003305,2053525.7538043074,8967.361370324486,9746.003
World,2021-03-08,7882631890,17474.92406359892,21374.98954589147,20917.64537717878,18402.399928310813,16003.349626199757,12262.261259766294,10745.011491171073,2088500.9550961927,9120.091506970273,9184.431
World,2021-03-15,7882631890,19797.541408325535,23624.147821387323,23025.058142270624,20554.91896567232,17508.496526582665,13052.25311948281,10885.627482845523,2198263.7084295237,9599.404840303598,8973.348
World,2021-03-22,7882631890,20596.694357155204,26987.95577702174,26020.71410567911,22792.539864653765,19296.563956200323,14613.153693907494,12581.333750305874,2350238.6476023016,10263.050862892147,9723.085000000001
World,2021-03-29,7882631890,27696.99448066701,36769.56713004275,36010.78878387054,31479.563080995897,24981.83435074601,19251.16286223863,18932.470944401546,2487834.7152213436,10863.907053368312,10373.859
World,2021-04-05,7882631890,31815.192443692828,39660.36469273904,39193.73025000022,35075.99243425746,28875.629203087152,23926.734083752133,22415.609430208453,2760589.212582601,12054.974727434937,10401.004
World,2021-04-12,7882631890,40915.897128121156,47133.875696916584,45284.4224374012,40915.897128121156,31419.273288824617,26108.255432354297,25070.86788593214,2747768.0478206975,11998.987108387326,12643.434
World,2021-04-19,7882631890,43638.90025300156,52506.331875479664,50065.105618913636,43657.311013772436,36096.667801930205,30749.751269484605,28134.49085457238,2869097.2640111716,12528.80901314922,12544.297
