world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2021-02-08,7951213330,5542090.263073912,7363385.88353697,6919750.7817503,6285076.306688731,5475548.837873965,4808215.851681159,4482075.154511342,817095035.4450454,3462267.0993434126,2479720.8636666667
World,2021-02-15,7951213330,5649574.186812466,7504242.159783553,7053340.16225659,6388971.896048276,5595541.540354156,4909413.99245255,4565652.858530692,832034045.1479019,3525567.9879148384,2561100.9106666665
World,2021-02-22,7951213330,5743567.809951054,7635265.348553688,7173707.1778734,6504127.3766151965,5703338.039061973,4995707.863241533,4641924.567245012,844639994.2507584,3578983.0264862645,2627887.9316666666
World,2021-03-01,7951213330,5844946.012973068,7774175.221122667,7297769.768588165,6629853.547184344,5818871.799893767,5088049.125449533,4723395.658871844,859417938.9137033,3641601.436075014,2691676.9226666666
World,2021-03-08,7951213330,5950171.469911922,7910645.456109014,7425636.473398174,6765195.620915471,5936613.27806142,5178995.677526135,4804812.508792673,874444594.7459297,3705273.7065505493,2751788.932666667
World,2021-03-15,7951213330,6064235.579298573,8045812.980037553,7565300.889634113,6902304.483272085,6052553.568358896,5277670.134363686,4893227.068040302,890279265.8048226,3772369.770359418,2812819.9516666667
World,2021-03-22,7951213330,6188719.650593024,8196052.045244397,7714686.504274428,7062379.322715707,6175556.167103585,5381812.168360308,4992505.808070224,907200391.6930319,3844069.456326406,2878583.9996666666
World,2021-03-29,7951213330,6337406.380574,8403693.973382577,7887455.331393352,7252986.964310441,6306187.870180688,5546271.718911599,5105003.683203714,925112291.2079077,3919967.3356267274,2947265.9976666667
World,2021-04-05,7951213330,6535621.064989491,8661243.95345255,8113954.815690436,7458946.117530039,6482320.106298687,5729691.606007779,5266385.965762881,946495372.6807718,4010573.6130541177,3021912.037666667
World,2021-04-12,7951213330,6751128.42181694,8894122.111475736,8420739.23401069,7682640.458457897,6732944.678581786,5910907.798669913,5452250.526645632,967787473.0069692,4100794.377148174,3103991.0906666666
World,2021-04-19,7951213330,6988882.57884052,9171320.702136153,8718313.239685936,7920847.71555716,6962319.466709341,6118867.149504158,5663901.0230807755,989954862.7198333,4194723.994575565,3191103.1646666666
World,2021-04-26,7951213330,7236214.475843497,9471288.712501695,9035875.66652216,8245049.915931973,7236214.475843497,6345628.508844425,5881021.855117094,1011350733.819364,4285384.465336287,3283735.1726666666
World,2021-05-03,7951213330,7530250.117943084,9782376.453943618,9381813.030031588,8586735.127726918,7530250.117943084,6550600.097680431,6097807.753992932,1030096896.9905075,4364817.360129269,3379553.2586666667
World,2021-05-10,7951213330,7832201.990791503,10126677.903155182,9745536.68814941,8897719.33576776,7832201.990791503,6753436.128718377,6435408.917529107,1048397124.7883178,4442360.698255584,3471712.290666667
World,2021-05-17,7951213330,8133254.6424025195,10420975.201495754,10244523.37081716,9239231.292896627,8133254.6424025195,6948541.1433044495,6794526.555011356,1065788928.0127949,4516054.779715233,3559408.3256666665
World,2021-05-24,7951213330,8428612.214321794,10743500.544291107,10695242.45632869,9592652.206073483,8417251.697932107,7283238.457636587,7138023.799507005,1082137774.0772717,4585329.55117488,3645232.3716666666
World,2021-05-31,7951213330,8646069.096018285,11117909.877656275,10929243.75118933,9896163.418050136,8621815.717304308,7535125.043177612,7314268.046562478,1098870186.2217486,4656229.602634529,3722893.3746666666
World,2021-06-07,7951213330,8841052.214871945,11413925.685501603,11163865.63791775,10123091.505811293,8816532.931663992,7710916.401985178,7470461.306024054,1114879881.6346128,4724067.295061918,3790200.3836666667
World,2021-06-14,7951213330,9018554.445119942,11630389.255476652,11404820.881971873,10352683.873096317,9009087.51029693,7879491.216243859,7615532.4744275315,1131322007.7141435,4793737.320822641,3863014.3836666667
World,2021-06-21,7951213330,9173724.61731414,11825238.325514847,11637671.408812871,10558473.51322838,9173429.74868315,8034144.774060279,7751547.9571580505,1147508426.9504411,4862323.843010344,3923775.4266666668
World,2021-06-28,7951213330,9323904.09337869,12018379.254056517,11841901.402130866,10769611.931562167,9323904.09337869,8196619.896061829,7892113.35974422,1164202739.4267387,4933062.455198046,3979116.4606666667
World,2021-07-05,7951213330,9476163.186306112,12214582.397769272,12042529.060757551,10946706.642355334,9476163.186306112,8349110.489764795,8045021.530659813,1181017979.2927139,5004313.4715792965,4032895.5216666665
