iso3c,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
SLV,2020-01-27,6486201,-143.54889239384053,1036.3671870439848,621.472112452303,-0.700826493107366,-233.52497680137466,-349.4808027905665,-408.64940742682126,-143.54889239384053,0,0
SLV,2020-02-03,6486201,-178.19881750696393,1256.7317935315818,744.8807413448092,-15.40911560504686,-277.75613153782547,-423.9677504995396,-490.2628224310271,-178.19881750696393,0,0
SLV,2020-02-10,6486201,-200.25705995261814,1392.1331541853492,866.6810896229977,-29.371544575635674,-318.16825617054934,-490.9469604216852,-572.797329308862,-200.25705995261814,0,0
SLV,2020-02-17,6486201,-220.3525649631669,1527.7415130878933,986.419294421655,-6.439035673013133,-367.34901721309967,-608.1126516692053,-669.52098386133,-220.3525649631669,0,0
SLV,2020-02-24,6486201,-258.58836679424303,1658.3354812750677,1104.1801889189192,-8.049896440161803,-426.80252115417164,-698.8609772801414,-767.404612868913,-258.58836679424303,0,0
SLV,2020-03-02,6486201,-299.0662916247801,1798.387620178206,1195.4611441447962,-54.357091117262854,-490.9758678075719,-776.627537897614,-865.7411941376197,-299.0662916247801,0,0
SLV,2020-03-09,6486201,-340.70802549467896,1939.9610958931476,1295.4004033476263,-92.00872082338765,-573.7302638047875,-857.6775936316367,-966.2370423432501,-340.70802549467896,0,0
SLV,2020-03-16,6486201,-382.69566790312444,2067.0533813500188,1380.2606758235158,-126.16468588604526,-646.3336934290542,-940.1993713082768,-1065.9243293063996,-382.69566790312444,0,0
SLV,2020-03-23,6486201,-476.7015726120554,1973.047476641088,1286.2547711145849,-220.17059059497615,-740.339598137985,-1034.2052760172078,-1159.9302340153304,-430.1405448903499,-94.0059047089309,0
SLV,2020-03-30,6486201,-570.7074773209863,1879.041571932157,1192.248866405654,-314.1764953039071,-834.3455028469159,-1128.2111807261385,-1253.9361387242614,-478.0427908002426,-188.0118094178618,0
SLV,2020-04-06,6486201,-694.5619841804549,1755.1870650726883,1068.3943595461853,-438.0310021633758,-958.2000097063847,-1252.0656875856073,-1377.79064558373,-547.8481648171495,-311.8663162773305,3.997
SLV,2020-04-13,6486201,-818.4164910399237,1631.3325582132197,944.5398526867166,-561.8855090228444,-1082.0545165658534,-1375.920194445076,-1501.6451524431986,-621.7456337272065,-435.7208231367992,5.999
SLV,2020-04-20,6486201,-942.2709978993923,1507.478051353751,820.6853458272479,-685.7400158823132,-1205.909023425322,-1499.7747013045448,-1625.4996593026674,-693.8017924799087,-559.5753299962679,7
SLV,2020-04-27,6486201,-1066.125504758861,1383.6235444942822,696.8308389677792,-809.5945227417818,-1329.7635302847907,-1623.6292081640136,-1749.3541661621362,-734.0383076940167,-683.4298368557365,8.001
SLV,2020-05-04,6486201,-1113.073344951663,1336.6757043014802,649.8829987749773,-856.5423629345838,-1376.7113704775927,-1670.5770483568153,-1796.3020063549382,-763.0832826351372,-730.3776770485385,12.998999999999999
SLV,2020-05-11,6486201,-1160.0211851444649,1289.7278641086784,602.9351585821753,-903.4902031273857,-1423.6592106703947,-1717.5248885496173,-1843.24984654774,-787.5993444187908,-777.3255172413404,17.997
SLV,2020-05-18,6486201,-1206.9690253372669,1242.7800239158764,555.9873183893734,-950.4380433201877,-1470.6070508631965,-1764.4727287424193,-1890.197686740542,-769.3941816989546,-824.2733574341424,29.994999999999997
SLV,2020-05-25,6486201,-1253.916865530069,1195.8321837230744,509.03947819657145,-997.3858835129896,-1517.5548910559985,-1811.4205689352211,-1937.145526933344,-692.7228127466913,-871.2211976269443,34.992999999999995
SLV,2020-06-01,6486201,-683.978039056203,1765.7710101969403,1078.9783046704372,-427.4470570391238,-947.6160645821327,-1241.4817424613555,-1367.206700459478,-292.249303113699,-301.28237115307854,45.989999999999995
SLV,2020-06-08,6486201,-114.03921258233726,2335.709836670806,1648.917131144303,142.49176943474197,-377.6772381082669,-671.5429159874897,-797.2678739856124,92.83117477296679,268.65645532078725,55.992999999999995
SLV,2020-06-15,6486201,455.89961389152853,2905.648663144672,2218.8559576181688,712.4305959086078,192.26158836559887,-101.60408951362385,-227.32904751174652,537.0897776851622,838.595281794653,73.99
SLV,2020-06-22,6486201,1025.8384403653943,3475.587489618538,2788.7947840920347,1282.3694223824734,762.2004148394647,468.3347369602419,342.60977896211926,1043.2587575456428,1408.5341082685188,106.988
SLV,2020-06-29,6486201,1595.7772668392602,4045.5263160924032,3358.7336105659006,1852.3082488563393,1332.1392413133303,1038.2735634341077,912.548605435985,1500.633739167723,1978.4729347423845,163.989
SLV,2020-07-06,6486201,2695.203620194842,5144.9526694479855,4458.159963921483,2951.7346022119214,2431.5655946689126,2137.6999167896897,2011.9749587915671,2336.7823567863707,3077.8992880979667,222.99200000000002
SLV,2020-07-13,6486201,3794.629973550424,6244.379022803568,5557.586317277064,4051.160955567503,3530.9919480244944,3237.126270145272,3111.401312147149,3230.7258952569837,4177.325641453549,266.994
SLV,2020-07-20,6486201,4894.056326906006,7343.805376159149,6657.012670632646,5150.587308923085,4630.418301380077,4336.552623500854,4210.827665502731,4122.724842539236,5276.75199480913,343.994
SLV,2020-07-27,6486201,5993.482680261588,8443.231729514731,7756.439023988229,6250.013662278668,5729.844654735659,5435.978976856436,5310.254018858313,5013.393324938659,6376.178348164713,407.995
SLV,2020-08-03,6486201,6323.496130391367,8773.245179644511,8086.452474118008,6580.027112408447,6059.858104865438,5765.992426986215,5640.267468988092,5416.705150272597,6706.1917982944915,476.994
SLV,2020-08-10,6486201,6653.509580521146,9103.25862977429,8416.465924247786,6910.0405625382255,6389.871554995216,6096.005877115994,5970.280919117871,5797.8362109813115,7036.20524842427,562.996
SLV,2020-08-17,6486201,6983.523030650925,9433.272079904069,8746.479374377564,7240.054012668004,6719.885005124995,6426.019327245773,6300.294369247649,6144.413321661029,7366.218698554049,617.995
SLV,2020-08-24,6486201,7313.536480780704,9763.285530033847,9076.492824507344,7570.067462797782,7049.898455254774,6756.032777375552,6630.307819377428,6483.84736762649,7696.232148683828,668.997
SLV,2020-08-31,6486201,7643.5499309104825,10093.298980163625,9406.506274637122,7900.080912927561,7379.9119053845525,7086.04622750533,6960.321269507207,6783.306709865804,8026.245598813607,716.996
